Time,Start Time,End Time,Weather
2017-10-01,2017-10-01 14:00:00,2017-10-01 14:15:00,02High temperature
2017-10-02,2017-10-02 11:30:00,2017-10-02 16:30:00,02High temperature
2017-10-03,2017-10-03 11:00:00,2017-10-03 15:30:00,02High temperature
2017-10-04,2017-10-04 07:30:00,2017-10-04 10:30:00,02High temperature
2017-10-07,2017-10-07 17:30:00,2017-10-07 17:30:00,02High temperature
2017-10-08,2017-10-08 11:30:00,2017-10-08 14:00:00,02High temperature
2017-10-09,2017-10-09 11:00:00,2017-10-09 15:00:00,02High temperature
2017-10-10,2017-10-10 01:30:00,2017-10-10 19:00:00,02High temperature
2017-10-11,2017-10-11 11:00:00,2017-10-11 11:00:00,02High temperature
2017-10-12,2017-10-12 11:00:00,2017-10-12 17:30:00,02High temperature
2018-05-03,2018-05-03 14:00:00,2018-05-03 14:00:00,02High temperature
2018-05-14,2018-05-14 12:30:00,2018-05-14 15:30:00,02High temperature
2018-05-15,2018-05-15 14:30:00,2018-05-15 14:30:00,02High temperature
2018-05-16,2018-05-16 16:00:00,2018-05-16 16:00:00,02High temperature
2018-05-17,2018-05-17 12:15:00,2018-05-17 14:00:00,02High temperature
2018-05-18,2018-05-18 09:30:00,2018-05-18 15:00:00,02High temperature
2018-05-19,2018-05-19 09:30:00,2018-05-19 16:30:00,02High temperature
2018-05-20,2018-05-20 10:30:00,2018-05-20 16:00:00,02High temperature
2018-05-21,2018-05-21 12:00:00,2018-05-21 17:00:00,02High temperature
2018-05-22,2018-05-22 10:30:00,2018-05-22 19:30:00,02High temperature
2018-05-23,2018-05-23 11:30:00,2018-05-23 16:00:00,02High temperature
2018-05-24,2018-05-24 10:30:00,2018-05-24 16:00:00,02High temperature
2018-05-25,2018-05-25 09:00:00,2018-05-25 15:30:00,02High temperature
2018-05-26,2018-05-26 09:30:00,2018-05-26 15:30:00,02High temperature
2018-05-27,2018-05-27 10:30:00,2018-05-27 17:15:00,02High temperature
2018-05-28,2018-05-28 14:00:00,2018-05-28 14:00:00,02High temperature
2018-05-29,2018-05-29 10:30:00,2018-05-29 17:00:00,02High temperature
2018-05-30,2018-05-30 00:00:00,2018-05-30 18:00:00,02High temperature
2018-05-31,2018-05-31 09:00:00,2018-05-31 21:30:00,02High temperature
2018-06-01,2018-06-01 10:30:00,2018-06-01 18:30:00,02High temperature
2018-06-03,2018-06-03 11:00:00,2018-06-03 12:30:00,02High temperature
2018-06-09,2018-06-09 13:00:00,2018-06-09 13:30:00,02High temperature
