,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-03 16:30:00,714.3098833558781,714.3098833558781,714.3098833558781
2023-01-03 16:45:00,774.6214158493796,774.6214158493796,774.6214158493796
2023-01-03 17:00:00,840.5868623310915,840.5868623310915,840.5868623310915
2023-01-03 17:15:00,912.2062228010141,912.2062228010141,912.2062228010141
2023-01-03 17:30:00,978.1716692827259,978.171669282726,978.171669282726
2023-01-03 17:45:00,1034.713559122998,1034.713559122998,1034.713559122998
2023-01-03 18:00:00,1098.7941842780956,1098.7941842780956,1098.7941842780956
2023-01-03 18:15:00,1142.1428748236988,1142.1428748236988,1142.1428748236988
2023-01-03 18:30:00,1189.260658030898,1189.260658030898,1189.260658030898
2023-01-03 18:45:00,1230.7245272498865,1230.7245272498865,1230.7245272498865
2023-01-03 19:00:00,1257.1109258392246,1257.1109258392246,1257.1109258392246
2023-01-03 19:15:00,1260.8805684924537,1260.8805684924537,1260.8805684924537
2023-01-03 19:30:00,1236.3789912297302,1236.3789912297302,1236.3789912297302
2023-01-03 19:45:00,1206.2234999787963,1206.2234999787963,1206.2234999787963
2023-01-03 20:00:00,1176.068008727862,1176.068008727862,1176.068008727862
2023-01-03 20:15:00,1145.912517476928,1145.912517476928,1145.912517476928
2023-01-03 20:30:00,1121.4109402142044,1121.4109402142044,1121.4109402142044
2023-01-03 20:45:00,1106.332919592921,1106.332919592921,1106.332919592921
2023-01-03 21:00:00,1191.1454793575126,1191.1454793575126,1191.1454793575126
2023-01-03 21:15:00,1298.5747950582133,1298.5747950582133,1298.5747950582133
2023-01-03 21:30:00,1588.8218795911332,1588.8218795911332,1588.8218795911332
2023-01-03 21:45:00,1975.1899018566985,1975.1899018566987,1975.1899018566987
2023-01-03 22:00:00,2361.5579241222645,2361.5579241222645,2361.5579241222645
2023-01-03 22:15:00,2763.003967009114,2763.003967009114,2763.003967009114
2023-01-03 22:30:00,3194.6055011468975,3194.6055011468975,3194.6055011468975
2023-01-03 22:45:00,3613.339132285399,3613.339132285399,3613.339132285399
2023-01-03 23:00:00,4030.430170743553,4030.4301707435525,4030.4301707435525
2023-01-03 23:15:00,4442.230088191265,4442.230088191265,4442.230088191265
2023-01-03 23:30:00,4839.315842637521,4839.315842637521,4839.315842637521
